AER Period,AER Close,OAK Period,OAK Close
3/17/2016,38.41,3/17/2016,48.18
3/16/2016,37.68,3/16/2016,47.99
3/15/2016,36.82,3/15/2016,47.37
3/14/2016,37.94,3/14/2016,48.79
3/11/2016,37.61,3/11/2016,49.49
3/10/2016,36.4,3/10/2016,49.17
3/9/2016,36.95,3/9/2016,48.95
3/8/2016,36.19,3/8/2016,47.93
3/7/2016,37.76,3/7/2016,48.71
3/4/2016,37.63,3/4/2016,47.4
3/3/2016,37.99,3/3/2016,46.83
3/2/2016,37.75,3/2/2016,46.63
3/1/2016,36.68,3/1/2016,45.79
2/29/2016,35.73,2/29/2016,45.9
2/26/2016,35.49,2/26/2016,44.68
2/25/2016,34.66,2/25/2016,44.39
2/24/2016,34.15,2/24/2016,44.19
2/23/2016,33.17,2/23/2016,44.79
2/22/2016,33.42,2/22/2016,45.22
2/19/2016,31.7,2/19/2016,45.18
2/18/2016,32,2/18/2016,45.01
2/17/2016,30.97,2/17/2016,46.02
2/16/2016,29.15,2/16/2016,46.02
2/12/2016,28.06,2/12/2016,46.45
2/11/2016,26.34,2/11/2016,45.3
2/10/2016,27.05,2/10/2016,47.89
2/9/2016,26.79,2/9/2016,46.53
2/8/2016,25.54,2/8/2016,43.95
2/5/2016,27.84,2/5/2016,43.62
2/4/2016,28.97,2/4/2016,43.12
2/3/2016,28.43,2/3/2016,43.51
2/2/2016,28.64,2/2/2016,43.77
2/1/2016,31.04,2/1/2016,44.74
1/29/2016,30.71,1/29/2016,43.76
1/28/2016,28.84,1/28/2016,42.85
1/27/2016,30.28,1/27/2016,43.15
1/26/2016,31.76,1/26/2016,43.39
1/25/2016,30.8,1/25/2016,42.8
1/22/2016,32.95,1/22/2016,42.59
1/21/2016,32.09,1/21/2016,41.33
1/20/2016,31.4,1/20/2016,41.41
1/19/2016,32.85,1/19/2016,41.94
1/15/2016,34.01,1/15/2016,40.81
1/14/2016,36.55,1/14/2016,40.77
1/13/2016,36.1,1/13/2016,40.29
1/12/2016,37.9,1/12/2016,41.95
